Latency,Requests,Throughput,Baseline,Orchestrator,Benchmark,Infinite,Exp,Availability,Horizontal,Vertical,Threads,Connections,Duration,Mean,Max,StdDev,ReqSec
10.59,200.0,5931.0,0,swarm,hr,0,exp3,0,1,1,1,512,30,3.383,12.4,2.24,197.26
10.79,200.0,5891.0,0,swarm,hr,0,exp3,0,1,1,2,512,30,3.38,14.2,2.286,195.93
10.45,200.0,5960.0,0,swarm,hr,0,exp3,0,1,1,3,512,30,3.347,13.144,2.236,198.32
5.76,200.0,5957.0,0,swarm,mm,0,exp3,0,1,1,1,512,30,4.328,14.504,0.667,198.16
5.69,200.0,5933.0,0,swarm,mm,0,exp3,0,1,1,2,512,30,4.353,48.704,1.179,197.36
5.71,200.0,5957.0,0,swarm,mm,0,exp3,0,1,1,3,512,30,4.331,24.624,0.814,198.13
8.17,200.0,5931.0,0,swarm,sn,0,exp3,0,1,1,1,512,30,2.471,10.136,1.622,197.26
7.52,200.0,5912.0,0,swarm,sn,0,exp3,0,1,1,2,512,30,2.965,10.296,1.821,196.63
7.54,200.0,5934.0,0,swarm,sn,0,exp3,0,1,1,3,512,30,3.297,27.84,1.911,197.5
