Latency,Requests,Throughput,Baseline,Orchestrator,Benchmark,Infinite,Exp,Availability,Horizontal,Vertical,Threads,Connections,Duration,Mean,Max,StdDev,ReqSec
9.15,200.0,5755.0,0,swarm,hr,1,exp1,0,1,1,1,16,30,3.212,12.336,1.936,191.82
9.02,200.0,5995.0,0,swarm,hr,1,exp1,0,1,1,1,16,30,3.212,15.904,1.913,199.78
9.26,200.0,5995.0,0,swarm,hr,1,exp1,0,1,1,1,16,30,3.23,13.296,2.024,199.8
6.7,200.0,5755.0,0,swarm,mm,1,exp1,0,1,1,1,16,30,3.758,9.992,0.682,191.82
6.74,200.0,5995.0,0,swarm,mm,1,exp1,0,1,1,1,16,30,3.765,10.968,0.704,199.79
6.61,200.0,5995.0,0,swarm,mm,1,exp1,0,1,1,1,16,30,3.787,9.648,0.686,199.81
8.01,200.0,5755.0,0,swarm,sn,1,exp1,0,1,1,1,16,30,3.387,12.224,1.898,191.8
7.85,200.0,5995.0,0,swarm,sn,1,exp1,0,1,1,1,16,30,2.484,11.552,1.581,199.8
7.96,200.0,5995.0,0,swarm,sn,1,exp1,0,1,1,1,16,30,3.047,13.64,1.869,199.8
