Latency,Requests,Throughput,Measured_Throughput,Baseline,Orchestrator,Benchmark,Infinite,Exp,Availability,Horizontal,Vertical,Threads,Connections,Duration,Mean,Max,StdDev,ReqSec
3.24,500.0,14923.0,9877,1,nomad,mm,1,exp15,1,1,1,4,512,30,2.151,14.616,0.342,497.3
3.27,500.0,14815.0,9899,1,nomad,sn,1,exp15,1,1,1,4,512,30,1.144,17.808,0.812,493.75
3.9,1000.0,29408.0,19889,1,nomad,mm,1,exp15,1,1,1,4,512,30,2.192,13.512,0.461,979.96
2.52,1500.0,44706.0,29666,1,nomad,sn,1,exp15,1,1,1,4,512,30,0.786,16.88,0.629,1490.12
2.44,2000.0,59651.0,39736,1,nomad,sn,1,exp15,1,1,1,4,512,30,0.727,16.576,0.645,1988.22
2790.0,2000.0,58130.0,38630,1,nomad,mm,1,exp15,1,1,1,4,512,30,635.76,5423.104,760.892,1937.64
2.5,3000.0,89128.0,59702,1,nomad,sn,1,exp15,1,1,1,4,512,30,0.673,27.904,0.637,2970.93
9030.0,3000.0,71014.0,47956,1,nomad,hr,1,exp15,1,1,1,4,512,30,3848.943,12730.368,1992.391,2365.04
5470.0,3000.0,79592.0,52559,1,nomad,mm,1,exp15,1,1,1,4,512,30,1775.739,8699.904,1246.062,2652.52
13240.0,4000.0,71207.0,46477,1,nomad,mm,1,exp15,1,1,1,4,512,30,7482.531,15155.2,2645.532,2373.49
2.62,4000.0,118955.0,79823,1,nomad,sn,1,exp15,1,1,1,4,512,30,0.664,16.704,0.66,3965.15
13780.0,4000.0,73102.0,49579,1,nomad,hr,1,exp15,1,1,1,4,512,30,7533.629,16613.376,2691.346,2433.83
18330.0,5000.0,61489.0,39219,1,nomad,mm,1,exp15,1,1,1,4,512,30,10714.199,20463.616,3473.385,2047.78
2.84,5000.0,148639.0,99711,1,nomad,sn,1,exp15,1,1,1,4,512,30,0.676,16.64,0.689,4954.45
20330.0,6000.0,59402.0,39060,1,nomad,mm,1,exp15,1,1,1,4,512,30,12972.494,22052.864,3928.457,1980.11
18560.0,6000.0,73803.0,48952,1,nomad,hr,1,exp15,1,1,1,4,512,30,11734.598,20692.992,3500.094,2459.31
22020.0,7000.0,56095.0,37029,1,nomad,mm,1,exp15,1,1,1,4,512,30,14224.144,23724.032,4213.585,1869.84
4.78,10000.0,299806.0,199014,1,nomad,sn,1,exp15,1,1,1,4,512,30,0.813,21.216,0.956,9993.46
22870.0,10000.0,74344.0,49730,1,nomad,hr,1,exp15,1,1,1,4,512,30,15018.35,24150.016,4348.343,2478.15
23840.0,12000.0,73882.0,49371,1,nomad,hr,1,exp15,1,1,1,4,512,30,15705.056,25493.504,4617.038,2461.2
24610.0,14000.0,74770.0,49713,1,nomad,hr,1,exp15,1,1,1,4,512,30,16199.154,25804.8,4785.526,2492.24
5620.0,15000.0,426070.0,283336,1,nomad,sn,1,exp15,1,1,1,4,512,30,774.954,8486.912,1031.244,14202.18
24950.0,16000.0,74499.0,49410,1,nomad,hr,1,exp15,1,1,1,4,512,30,16366.508,26181.632,4870.837,2481.92
25850.0,18000.0,74304.0,49705,1,nomad,hr,1,exp15,1,1,1,4,512,30,17233.487,26755.072,4946.291,2470.72
26020.0,20000.0,73883.0,49093,1,nomad,hr,1,exp15,1,1,1,4,512,30,17212.357,27131.904,5032.304,2462.77
12940.0,20000.0,417285.0,290022,1,nomad,sn,1,exp15,1,1,1,4,512,30,5944.21,15998.976,2515.776,13909.71
