Latency,Requests,Throughput,Measured_Throughput,Baseline,Orchestrator,Benchmark,Infinite,Exp,Availability,Horizontal,Vertical,Threads,Connections,Duration,Mean,Max,StdDev,ReqSec
10.5,500.0,14923.0,9878,0,k8s,sn,1,exp12,0,1,1,4,512,30,4.061,45.44,2.284,497.33
11.84,500.0,14814.0,9898,0,k8s,hr,1,exp12,0,1,1,4,512,30,4.274,20.672,2.302,493.69
11.75,500.0,14922.0,9875,0,k8s,mm,1,exp12,0,1,1,4,512,30,4.9,19.424,1.859,496.65
7.87,1000.0,29903.0,19933,0,k8s,hr,1,exp12,0,1,1,4,512,30,3.161,12.584,1.474,996.74
21860.0,1000.0,7785.0,3896,0,k8s,mm,1,exp12,0,1,1,4,512,30,9287.31,23773.184,4336.379,258.38
7.02,1500.0,43992.0,29657,0,k8s,hr,1,exp12,0,1,1,4,512,30,2.891,11.136,1.255,1466.15
7.35,1500.0,44333.0,29620,0,k8s,sn,1,exp12,0,1,1,4,512,30,3.866,37.504,1.764,1477.55
6.78,2000.0,59189.0,39690,0,k8s,hr,1,exp12,0,1,1,4,512,30,2.809,10.416,1.188,1972.92
8.75,2000.0,59644.0,39733,0,k8s,sn,1,exp12,0,1,1,4,512,30,4.33,97.024,2.875,1987.99
24330.0,2000.0,11912.0,7996,0,k8s,mm,1,exp12,0,1,1,4,512,30,15678.587,26181.632,4644.717,396.98
6.82,2500.0,74372.0,49906,0,k8s,hr,1,exp12,0,1,1,4,512,30,2.775,13.168,1.199,2479.05
16730.0,3000.0,45482.0,29177,0,k8s,sn,1,exp12,0,1,1,4,512,30,9272.681,19251.2,3380.67,1512.5
26120.0,3000.0,12093.0,8148,0,k8s,mm,1,exp12,0,1,1,4,512,30,17216.567,27607.04,4981.317,401.95
17420.0,3000.0,41852.0,28856,0,k8s,hr,1,exp12,0,1,1,4,512,30,10643.378,20037.632,3251.34,1391.32
19370.0,4000.0,45868.0,31205,0,k8s,hr,1,exp12,0,1,1,4,512,30,12193.689,21741.568,3635.059,1524.95
20200.0,4000.0,43720.0,28541,0,k8s,sn,1,exp12,0,1,1,4,512,30,12481.424,22642.688,3854.723,1456.36
26720.0,4000.0,12058.0,8138,0,k8s,mm,1,exp12,0,1,1,4,512,30,17693.741,28295.168,5137.752,401.79
21680.0,5000.0,43032.0,28171,0,k8s,sn,1,exp12,0,1,1,4,512,30,13596.596,24363.008,4233.203,1431.64
27380.0,5000.0,11954.0,8015,0,k8s,mm,1,exp12,0,1,1,4,512,30,18109.106,28114.944,5263.273,398.3
22280.0,6000.0,47243.0,31766,0,k8s,hr,1,exp12,0,1,1,4,512,30,14513.052,23986.176,4287.462,1571.34
23330.0,6000.0,42085.0,27637,0,k8s,sn,1,exp12,0,1,1,4,512,30,15174.672,25526.272,4450.229,1402.07
25660.0,10000.0,41542.0,27288,0,k8s,sn,1,exp12,0,1,1,4,512,30,16880.909,26820.608,4966.698,1381.7
25070.0,10000.0,47856.0,32295,0,k8s,hr,1,exp12,0,1,1,4,512,30,16649.803,26083.328,4841.531,1595.23
