Latency,Requests,Throughput,Measured_Throughput,Baseline,Orchestrator,Benchmark,Infinite,Exp,Availability,Horizontal,Vertical,Threads,Connections,Duration,Mean,Max,StdDev,ReqSec
42470.0,2000.0,241875.0,222375,0,swarm,sn,1,exp10,0,1,1,4,512,150,5387.112,71303.168,10166.195,1612.49
1870.0,3000.0,177887.0,164997,0,swarm,sn,1,exp10,0,1,1,4,512,150,42121.699,132710.4,31905.317,1185.39
467.45,5000.0,749008.0,700126,0,swarm,mm,1,exp10,0,1,1,4,512,150,23.132,1481.728,80.096,4993.43
1000.0,6000.0,548433.0,498418,0,swarm,mm,1,exp10,0,1,1,4,512,150,25602.778,66486.272,23291.654,3652.96
263.68,14000.0,2095945.0,1958372,0,swarm,hr,1,exp10,0,1,1,4,512,150,48.412,876.032,52.356,13972.72
3240.0,16000.0,2399158.0,2239884,0,swarm,hr,1,exp10,0,1,1,4,512,150,638.511,5853.184,777.912,15994.31
