Latency,Requests,Throughput,Measured_Throughput,Baseline,Orchestrator,Benchmark,Infinite,Exp,Availability,Horizontal,Vertical,Threads,Connections,Duration,Mean,Max,StdDev,ReqSec
5.17,500.0,14815.0,9899,1,nomad,hr,1,exp14,0,0,1,4,512,30,2.105,14.648,1.013,493.54
2.71,500.0,14815.0,9899,1,nomad,mm,1,exp14,0,0,1,4,512,30,1.504,13.664,0.346,493.55
3.94,500.0,14815.0,9898,1,nomad,sn,1,exp14,0,0,1,4,512,30,1.486,18.08,0.991,493.7
2.62,1000.0,29635.0,19875,1,nomad,mm,1,exp14,0,0,1,4,512,30,1.407,7.388,0.327,987.71
2.91,1500.0,44706.0,29666,1,nomad,sn,1,exp14,0,0,1,4,512,30,0.975,21.52,0.743,1489.8
2.8,2000.0,59196.0,39694,1,nomad,sn,1,exp14,0,0,1,4,512,30,0.909,34.368,0.763,1972.89
3.05,2000.0,59185.0,39684,1,nomad,mm,1,exp14,0,0,1,4,512,30,1.489,9.632,0.415,1972.32
4.39,3000.0,89116.0,59695,1,nomad,mm,1,exp14,0,0,1,4,512,30,2.027,744.96,9.998,2970.7
2.73,3000.0,89128.0,59701,1,nomad,sn,1,exp14,0,0,1,4,512,30,0.859,16.976,0.687,2970.87
174.08,3000.0,89034.0,59690,1,nomad,hr,1,exp14,0,0,1,4,512,30,36.341,536.064,37.471,2967.66
2.8,4000.0,118954.0,79829,1,nomad,sn,1,exp14,0,0,1,4,512,30,0.85,29.792,0.67,3965.1
79.04,4000.0,117988.0,79867,1,nomad,hr,1,exp14,0,0,1,4,512,30,18.619,193.664,16.661,3932.62
81.92,4000.0,118931.0,79808,1,nomad,mm,1,exp14,0,0,1,4,512,30,4.337,1233.92,25.005,3964.54
61.89,5000.0,148605.0,99695,1,nomad,mm,1,exp14,0,0,1,4,512,30,4.096,704.512,18.88,4953.58
2.8,5000.0,149792.0,99670,1,nomad,sn,1,exp14,0,0,1,4,512,30,0.847,16.768,0.657,4993.02
4380.0,6000.0,167643.0,113884,1,nomad,hr,1,exp14,0,0,1,4,512,30,1327.498,6701.056,1067.939,5587.64
81.86,6000.0,178521.0,119780,1,nomad,mm,1,exp14,0,0,1,4,512,30,4.925,695.808,19.675,5950.89
132.1,7000.0,206514.0,139396,1,nomad,mm,1,exp14,0,0,1,4,512,30,7.459,793.6,25.423,6884.19
3.35,10000.0,297600.0,199280,1,nomad,sn,1,exp14,0,0,1,4,512,30,0.913,22.992,0.75,9919.86
4930.0,10000.0,261711.0,175710,1,nomad,mm,1,exp14,0,0,1,4,512,30,2133.122,6184.96,1083.765,8724.16
19760.0,10000.0,105695.0,70364,1,nomad,hr,1,exp14,0,0,1,4,512,30,12640.277,21282.816,3831.764,3521.73
21000.0,12000.0,106981.0,71617,1,nomad,hr,1,exp14,0,0,1,4,512,30,13627.689,22675.456,4098.405,3565.54
22480.0,14000.0,105725.0,70490,1,nomad,hr,1,exp14,0,0,1,4,512,30,14690.163,23920.64,4376.852,3520.78
4.32,15000.0,449699.0,298554,1,nomad,sn,1,exp14,0,0,1,4,512,30,1.034,36.992,0.909,14990.15
23310.0,16000.0,104179.0,69532,1,nomad,hr,1,exp14,0,0,1,4,512,30,15381.71,24690.688,4471.88,3472.66
23950.0,18000.0,106307.0,70344,1,nomad,hr,1,exp14,0,0,1,4,512,30,15800.657,25591.808,4642.517,3543.35
24510.0,20000.0,105577.0,70231,1,nomad,hr,1,exp14,0,0,1,4,512,30,16138.681,25952.256,4718.987,3519.32
7.29,20000.0,595102.0,393632,1,nomad,sn,1,exp14,0,0,1,4,512,30,9.237,5033.984,165.464,19836.37
