Latency,Requests,Throughput,Measured_Throughput,Baseline,Orchestrator,Benchmark,Infinite,Exp,Availability,Horizontal,Vertical,Threads,Connections,Duration,Mean,Max,StdDev,ReqSec
9.57,200.0,5614.0,3701,0,swarm,hr,1,exp2,0,1,1,16,1024,30,3.348,12.984,2.087,186.73
4.93,200.0,5728.0,3782,0,swarm,mm,1,exp2,0,1,1,16,512,30,3.596,8.6,0.545,190.71
4.89,200.0,5853.0,3846,0,swarm,mm,1,exp2,0,1,1,4,1024,30,3.545,6.74,0.535,194.65
7.61,200.0,5958.0,3933,0,swarm,sn,1,exp2,0,1,1,8,512,30,3.696,10.072,1.908,198.22
4.74,200.0,5860.0,3905,0,swarm,mm,1,exp2,0,1,1,4,512,30,3.553,7.576,0.517,195.14
4.82,200.0,5844.0,3858,0,swarm,mm,1,exp2,0,1,1,8,1024,30,3.519,5.66,0.502,193.96
4.81,200.0,5972.0,3973,0,swarm,mm,1,exp2,0,1,1,8,128,30,3.455,7.228,0.521,198.95
4.88,200.0,5932.0,3928,0,swarm,mm,1,exp2,0,1,1,8,512,30,3.542,7.816,0.542,197.3
7.53,200.0,5621.0,3698,0,swarm,sn,1,exp2,0,1,1,16,1024,30,4.138,10.08,1.845,186.95
7.42,200.0,5748.0,3816,0,swarm,sn,1,exp2,0,1,1,16,128,30,3.215,11.344,1.868,191.54
7.66,200.0,5742.0,3781,0,swarm,sn,1,exp2,0,1,1,16,512,30,3.88,16.592,1.933,191.18
7.53,200.0,5766.0,3846,0,swarm,sn,1,exp2,0,1,1,4,1024,30,3.912,10.072,1.879,191.94
8.02,200.0,5933.0,3973,0,swarm,sn,1,exp2,0,1,1,4,128,30,2.272,10.256,1.495,197.55
7.7,200.0,5907.0,3914,0,swarm,sn,1,exp2,0,1,1,4,512,30,3.494,11.384,1.93,196.77
7.67,200.0,5868.0,3860,0,swarm,sn,1,exp2,0,1,1,8,1024,30,3.967,9.384,1.851,195.05
7.65,200.0,5955.0,3974,0,swarm,sn,1,exp2,0,1,1,8,128,30,2.825,10.168,1.826,198.36
4.91,200.0,5747.0,3816,0,swarm,mm,1,exp2,0,1,1,16,128,30,3.509,7.036,0.533,191.5
4.91,200.0,5601.0,3697,0,swarm,mm,1,exp2,0,1,1,16,1024,30,3.616,6.376,0.537,186.28
4.99,200.0,5972.0,3967,0,swarm,mm,1,exp2,0,1,1,4,128,30,3.507,11.488,0.556,198.85
9.62,200.0,5934.0,3973,0,swarm,hr,1,exp2,0,1,1,4,128,30,3.388,13.312,2.129,197.62
10.22,200.0,5853.0,3847,0,swarm,hr,1,exp2,0,1,1,4,1024,30,3.396,13.976,2.234,194.74
10.35,200.0,5908.0,3915,0,swarm,hr,1,exp2,0,1,1,4,512,30,3.385,15.248,2.258,196.45
9.91,200.0,5730.0,3782,0,swarm,hr,1,exp2,0,1,1,16,512,30,3.347,12.472,2.164,190.77
10.42,200.0,5747.0,3816,0,swarm,hr,1,exp2,0,1,1,16,128,30,3.333,14.48,2.212,191.5
9.66,200.0,5868.0,3861,0,swarm,hr,1,exp2,0,1,1,8,1024,30,3.329,13.752,2.108,195.11
10.1,200.0,5934.0,3929,0,swarm,hr,1,exp2,0,1,1,8,512,30,3.321,13.584,2.164,197.45
9.94,200.0,5956.0,3974,0,swarm,hr,1,exp2,0,1,1,8,128,30,3.308,13.848,2.147,198.42
6.78,500.0,14511.0,9673,0,swarm,sn,1,exp2,0,1,1,8,1024,30,3.856,11.016,1.492,483.34
6.84,500.0,14815.0,9899,0,swarm,sn,1,exp2,0,1,1,4,512,30,3.73,9.184,1.555,493.64
7.75,500.0,14847.0,9899,0,swarm,hr,1,exp2,0,1,1,16,128,30,2.515,15.824,1.64,494.7
7.36,500.0,14844.0,9896,0,swarm,sn,1,exp2,0,1,1,16,128,30,3.778,12.8,1.634,494.65
7.11,500.0,14954.0,9965,0,swarm,sn,1,exp2,0,1,1,4,128,30,3.592,20.496,1.691,498.32
8.11,500.0,14504.0,9637,0,swarm,hr,1,exp2,0,1,1,16,1024,30,2.565,11.4,1.719,482.44
6.83,500.0,14550.0,9726,0,swarm,sn,1,exp2,0,1,1,4,1024,30,3.835,10.784,1.528,484.57
7.04,500.0,14776.0,9886,0,swarm,sn,1,exp2,0,1,1,8,128,30,3.65,10.576,1.603,492.23
8.06,500.0,14805.0,9855,0,swarm,hr,1,exp2,0,1,1,16,512,30,2.582,11.376,1.701,492.95
6.89,500.0,14836.0,9860,0,swarm,sn,1,exp2,0,1,1,16,512,30,3.841,10.416,1.557,493.99
8.0,500.0,14654.0,9727,0,swarm,hr,1,exp2,0,1,1,4,1024,30,2.573,12.392,1.697,488.04
3.57,500.0,14474.0,9626,0,swarm,mm,1,exp2,0,1,1,16,1024,30,2.809,5.888,0.25,481.48
7.75,500.0,14719.0,9862,0,swarm,hr,1,exp2,0,1,1,8,512,30,2.563,11.232,1.662,489.58
3.49,500.0,14719.0,9863,0,swarm,mm,1,exp2,0,1,1,8,512,30,2.772,5.944,0.252,490.09
7.68,500.0,14955.0,9966,0,swarm,hr,1,exp2,0,1,1,4,128,30,2.53,14.56,1.644,498.19
3.81,500.0,14777.0,9886,0,swarm,mm,1,exp2,0,1,1,8,128,30,2.724,7.532,0.314,492.3
3.51,500.0,14511.0,9671,0,swarm,mm,1,exp2,0,1,1,8,1024,30,2.786,9.416,0.265,482.28
7.9,500.0,14709.0,9909,0,swarm,hr,1,exp2,0,1,1,4,512,30,2.518,13.32,1.649,490.17
3.59,500.0,14815.0,9899,0,swarm,mm,1,exp2,0,1,1,4,512,30,2.755,12.224,0.313,493.34
3.9,500.0,14955.0,9968,0,swarm,mm,1,exp2,0,1,1,4,128,30,2.727,15.136,0.433,498.33
7.69,500.0,14464.0,9676,0,swarm,hr,1,exp2,0,1,1,8,1024,30,2.506,13.744,1.621,481.51
3.51,500.0,14654.0,9728,0,swarm,mm,1,exp2,0,1,1,4,1024,30,2.786,5.468,0.247,488.28
3.61,500.0,14836.0,9859,0,swarm,mm,1,exp2,0,1,1,16,512,30,2.788,8.072,0.273,493.98
8.14,500.0,14845.0,9895,0,swarm,hr,1,exp2,0,1,1,8,128,30,2.558,15.064,1.688,494.52
3.77,500.0,14845.0,9896,0,swarm,mm,1,exp2,0,1,1,16,128,30,2.72,7.068,0.3,494.67
6.85,500.0,14531.0,9640,0,swarm,sn,1,exp2,0,1,1,16,1024,30,3.869,10.792,1.51,483.35
6.84,500.0,14770.0,9851,0,swarm,sn,1,exp2,0,1,1,8,512,30,3.794,13.488,1.577,491.42
