Latency,Requests,Throughput,Measured_Throughput,Baseline,Orchestrator,Benchmark,Infinite,Exp,N,Availability,Horizontal,Vertical,Threads,Connections,Duration,Mean,Max,StdDev,ReqSec
5.65,500.0,14828.0,9843,1,swarm,hr,1,exp15,3,1,1,1,8,512,30,2.259,8.92,1.174,493.93
3.87,500.0,14717.0,9863,1,swarm,mm,1,exp15,3,1,1,1,8,512,30,2.919,14.128,0.5,489.54
4.7,500.0,14827.0,9841,1,swarm,mm,1,exp15,4,1,1,1,8,512,30,3.013,20.784,0.769,493.57
4.11,500.0,14768.0,9848,1,swarm,mm,1,exp15,5,1,1,1,8,512,30,3.047,19.776,0.606,491.73
5.91,500.0,14769.0,9848,1,swarm,hr,1,exp15,5,1,1,1,8,512,30,2.327,8.488,1.273,492.09
5.73,500.0,14823.0,9843,1,swarm,hr,1,exp15,4,1,1,1,8,512,30,2.266,7.728,1.188,493.02
3.9,500.0,14768.0,9852,1,swarm,mm,1,exp15,2,1,1,1,8,512,30,2.88,14.552,0.549,491.85
5.72,500.0,14771.0,9850,1,swarm,hr,1,exp15,2,1,1,1,8,512,30,2.275,8.112,1.194,491.47
16219.999999999998,500.0,11108.0,9708,1,swarm,hr,1,exp15,1,1,1,1,8,512,30,7146.148,24231.936,3572.305,369.95
3.86,500.0,14826.0,9842,1,swarm,mm,1,exp15,1,1,1,1,8,512,30,2.823,17.968,0.569,493.49
6.85,500.0,14771.0,9850,1,swarm,sn,1,exp15,1,1,1,1,8,512,30,2.601,24.64,1.679,491.63
8.26,500.0,14826.0,9841,1,swarm,sn,1,exp15,5,1,1,1,8,512,30,4.888,16.96,1.273,493.25
7.98,500.0,14826.0,9842,1,swarm,sn,1,exp15,4,1,1,1,8,512,30,4.657,12.664,1.267,493.16
7.76,500.0,14828.0,9842,1,swarm,sn,1,exp15,3,1,1,1,8,512,30,4.394,13.696,1.286,493.64
6.75,500.0,14829.0,9843,1,swarm,sn,1,exp15,2,1,1,1,8,512,30,4.023,12.272,1.255,493.54
5.22,1000.0,29932.0,19999,1,swarm,hr,1,exp15,5,1,1,1,8,512,30,1.936,8.04,1.093,997.3
21770.0,1000.0,10319.0,7038,1,swarm,mm,1,exp15,1,1,1,1,8,512,30,12928.616,25182.208,4110.168,343.21
21590.0,1000.0,10264.0,7030,1,swarm,mm,1,exp15,2,1,1,1,8,512,30,12841.805,23904.256,4140.225,341.97
21590.0,1000.0,10240.0,6987,1,swarm,mm,1,exp15,3,1,1,1,8,512,30,12851.147,24657.92,4147.654,340.62
5.07,1000.0,29790.0,19969,1,swarm,hr,1,exp15,1,1,1,1,8,512,30,1.908,7.124,1.033,992.67
5.06,1000.0,29937.0,19999,1,swarm,hr,1,exp15,4,1,1,1,8,512,30,1.923,9.672,1.046,997.16
5.03,1000.0,29932.0,19998,1,swarm,hr,1,exp15,3,1,1,1,8,512,30,1.907,11.608,1.029,997.38
4.96,1000.0,29791.0,19968,1,swarm,hr,1,exp15,2,1,1,1,8,512,30,1.877,10.192,1.023,992.21
21230.0,1000.0,10883.0,7569,1,swarm,mm,1,exp15,5,1,1,1,8,512,30,12599.171,23543.808,4040.977,362.25
21580.0,1000.0,10235.0,6980,1,swarm,mm,1,exp15,4,1,1,1,8,512,30,12808.956,24870.912,4188.933,341.02
6.24,1500.0,44440.0,29654,1,swarm,sn,1,exp15,2,1,1,1,8,512,30,3.359,11.536,1.151,1480.65
24050.0,1500.0,10484.0,7158,1,swarm,mm,1,exp15,1,1,1,1,8,512,30,15140.582,26230.784,4547.183,349.09
23840.0,1500.0,10506.0,7207,1,swarm,mm,1,exp15,2,1,1,1,8,512,30,14946.723,26181.632,4547.939,349.46
24040.0,1500.0,10443.0,7176,1,swarm,mm,1,exp15,3,1,1,1,8,512,30,15186.862,26230.784,4556.049,347.99
5.81,1500.0,44441.0,29651,1,swarm,sn,1,exp15,1,1,1,1,8,512,30,2.683,10.104,1.402,1481.0
24220.0,1500.0,10354.0,7141,1,swarm,mm,1,exp15,4,1,1,1,8,512,30,15123.739,26214.4,4593.169,344.4
23920.0,1500.0,10818.0,7538,1,swarm,mm,1,exp15,5,1,1,1,8,512,30,15130.232,26132.48,4500.912,360.24
8.74,1500.0,44441.0,29652,1,swarm,sn,1,exp15,3,1,1,1,8,512,30,3.893,45.792,2.078,1481.19
