Latency,Requests,Throughput,Measured_Throughput,Baseline,Orchestrator,Benchmark,Infinite,Exp,N,Availability,Horizontal,Vertical,Threads,Connections,Duration,Mean,Max,StdDev,ReqSec
3.59,500.0,14829.0,9843,1,nomad,hr,1,exp15,3,1,1,1,8,512,30,1.612,7.672,0.663,493.45
19040.0,500.0,7688.0,5340,1,nomad,mm,1,exp15,3,1,1,1,8,512,30,9169.823,22085.632,3983.1,255.7
18400.0,500.0,7841.0,5333,1,nomad,mm,1,exp15,4,1,1,1,8,512,30,8924.788,21938.176,3870.257,260.79
19090.0,500.0,7724.0,5321,1,nomad,mm,1,exp15,5,1,1,1,8,512,30,9043.011,23658.496,3921.09,257.2
3.68,500.0,14666.0,9867,1,nomad,hr,1,exp15,5,1,1,1,8,512,30,1.673,8.728,0.732,487.87
3.67,500.0,14769.0,9851,1,nomad,hr,1,exp15,4,1,1,1,8,512,30,1.668,7.908,0.732,491.32
19040.0,500.0,7494.0,5247,1,nomad,mm,1,exp15,2,1,1,1,8,512,30,9726.485,23724.032,3875.447,249.24
3.56,500.0,14720.0,9862,1,nomad,hr,1,exp15,2,1,1,1,8,512,30,1.606,8.648,0.656,489.88
3.49,500.0,14827.0,9842,1,nomad,hr,1,exp15,1,1,1,1,8,512,30,1.591,9.696,0.631,493.15
18710.0,500.0,7563.0,5260,1,nomad,mm,1,exp15,1,1,1,1,8,512,30,9532.283,22691.84,3921.992,251.54
1.73,500.0,14769.0,9850,1,nomad,sn,1,exp15,5,1,1,1,8,512,30,1.075,2.742,0.286,491.71
1.76,500.0,14828.0,9843,1,nomad,sn,1,exp15,3,1,1,1,8,512,30,1.074,2.492,0.287,493.68
1.72,500.0,14771.0,9850,1,nomad,sn,1,exp15,2,1,1,1,8,512,30,1.057,2.478,0.283,491.8
1.77,500.0,14831.0,9845,1,nomad,sn,1,exp15,1,1,1,1,8,512,30,1.1,38.016,0.573,493.84
1.77,500.0,14771.0,9849,1,nomad,sn,1,exp15,4,1,1,1,8,512,30,1.08,2.526,0.29,491.86
898.05,1000.0,29623.0,19796,1,nomad,hr,1,exp15,5,1,1,1,8,512,30,121.744,1830.912,214.824,986.28
1.6,1000.0,29789.0,19966,1,nomad,sn,1,exp15,5,1,1,1,8,512,30,0.892,2.642,0.273,992.57
1.61,1000.0,29785.0,19962,1,nomad,sn,1,exp15,4,1,1,1,8,512,30,0.9,2.53,0.276,992.11
1.62,1000.0,29787.0,19963,1,nomad,sn,1,exp15,2,1,1,1,8,512,30,0.903,2.494,0.275,992.7
1.59,1000.0,29787.0,19965,1,nomad,sn,1,exp15,3,1,1,1,8,512,30,0.886,2.426,0.279,992.1
23810.0,1000.0,7678.0,5271,1,nomad,mm,1,exp15,2,1,1,1,8,512,30,14595.212,26411.008,4586.175,255.43
24020.0,1000.0,7501.0,5117,1,nomad,mm,1,exp15,3,1,1,1,8,512,30,14740.791,26804.224,4564.936,249.52
