Latency,Requests,Throughput,Measured_Throughput,Baseline,Orchestrator,Benchmark,Infinite,Exp,N,Availability,Horizontal,Vertical,Threads,Connections,Duration,Mean,Max,StdDev,ReqSec
3.81,500.0,14719.0,9863,0,nomad,hr,1,exp12,3,0,1,1,8,512,30,1.685,8.28,0.746,490.0
19400.0,500.0,7470.0,5211,0,nomad,mm,1,exp12,3,0,1,1,8,512,30,9770.108,25657.344,3993.773,248.49
18690.0,500.0,7650.0,5292,0,nomad,mm,1,exp12,4,0,1,1,8,512,30,9033.634,22315.008,3869.872,254.44
19280.0,500.0,7690.0,5254,0,nomad,mm,1,exp12,5,0,1,1,8,512,30,9307.197,23281.664,3871.798,256.11
3.73,500.0,14771.0,9850,0,nomad,hr,1,exp12,5,0,1,1,8,512,30,1.684,7.028,0.725,491.77
3.81,500.0,14827.0,9842,0,nomad,hr,1,exp12,4,0,1,1,8,512,30,1.701,8.856,0.758,493.16
19680.0,500.0,7449.0,5189,0,nomad,mm,1,exp12,2,0,1,1,8,512,30,9658.412,24641.536,4077.447,247.79
3.6,500.0,14771.0,9849,0,nomad,hr,1,exp12,2,0,1,1,8,512,30,1.662,9.328,0.69,491.47
3.59,500.0,14828.0,9842,0,nomad,hr,1,exp12,1,0,1,1,8,512,30,1.653,5.952,0.679,493.51
19040.0,500.0,7567.0,5190,0,nomad,mm,1,exp12,1,0,1,1,8,512,30,9461.57,23494.656,3949.42,251.83
1.91,500.0,14719.0,9863,0,nomad,sn,1,exp12,5,0,1,1,8,512,30,1.178,2.73,0.303,489.57
1.89,500.0,14770.0,9851,0,nomad,sn,1,exp12,3,0,1,1,8,512,30,1.166,2.598,0.298,491.7
1.9,500.0,14771.0,9850,0,nomad,sn,1,exp12,2,0,1,1,8,512,30,1.179,2.804,0.298,491.99
1.9,500.0,14769.0,9848,0,nomad,sn,1,exp12,1,0,1,1,8,512,30,1.157,2.858,0.295,491.55
1.89,500.0,14769.0,9849,0,nomad,sn,1,exp12,4,0,1,1,8,512,30,1.164,5.9,0.297,491.87
576.51,1000.0,29489.0,19555,0,nomad,hr,1,exp12,5,0,1,1,8,512,30,82.124,1312.768,142.167,982.05
1.69,1000.0,29659.0,19936,0,nomad,sn,1,exp12,5,0,1,1,8,512,30,0.932,2.408,0.266,988.01
1.71,1000.0,29795.0,19968,0,nomad,sn,1,exp12,4,0,1,1,8,512,30,0.941,2.422,0.275,992.67
1.7,1000.0,29791.0,19965,0,nomad,sn,1,exp12,2,0,1,1,8,512,30,0.939,2.626,0.274,992.26
1.7,1000.0,29784.0,19965,0,nomad,sn,1,exp12,3,0,1,1,8,512,30,0.944,2.408,0.273,992.25
23660.0,1000.0,7682.0,5269,0,nomad,mm,1,exp12,2,0,1,1,8,512,30,14475.297,25296.896,4539.628,256.04
23920.0,1000.0,7609.0,5250,0,nomad,mm,1,exp12,3,0,1,1,8,512,30,14579.878,25821.184,4579.619,253.19
23540.0,1000.0,7723.0,5375,0,nomad,mm,1,exp12,4,0,1,1,8,512,30,14448.323,26214.4,4500.719,256.9
23590.0,1000.0,7614.0,5217,0,nomad,mm,1,exp12,5,0,1,1,8,512,30,14631.934,26345.472,4436.991,253.74
844.29,1000.0,29685.0,19831,0,nomad,hr,1,exp12,4,0,1,1,8,512,30,210.315,1806.336,204.069,987.5
638.97,1000.0,29770.0,19834,0,nomad,hr,1,exp12,3,0,1,1,8,512,30,82.823,1140.736,151.668,991.52
4.39,1000.0,29658.0,19936,0,nomad,hr,1,exp12,2,0,1,1,8,512,30,1.618,41.088,1.581,988.28
23860.0,1000.0,7698.0,5284,0,nomad,mm,1,exp12,1,0,1,1,8,512,30,14538.626,26181.632,4506.181,256.05
1.66,1000.0,29937.0,20000,0,nomad,sn,1,exp12,1,0,1,1,8,512,30,0.926,2.76,0.266,997.66
3.46,1000.0,29932.0,20000,0,nomad,hr,1,exp12,1,0,1,1,8,512,30,1.507,13.696,0.687,997.33
25510.0,1500.0,7806.0,5300,0,nomad,mm,1,exp12,3,0,1,1,8,512,30,16199.005,27197.44,4839.901,259.72
25380.0,1500.0,7798.0,5352,0,nomad,mm,1,exp12,5,0,1,1,8,512,30,16219.266,27312.128,4849.093,259.39
25660.0,1500.0,7630.0,5229,0,nomad,mm,1,exp12,1,0,1,1,8,512,30,16369.43,27033.6,4827.705,253.91
25530.0,1500.0,7732.0,5262,0,nomad,mm,1,exp12,2,0,1,1,8,512,30,16263.264,27181.056,4845.505,257.64
25460.0,1500.0,7781.0,5393,0,nomad,mm,1,exp12,4,0,1,1,8,512,30,16304.233,27164.672,4863.096,258.81
13620.0,2000.0,37843.0,26067,0,nomad,hr,1,exp12,2,0,1,1,8,512,30,7137.718,17203.2,2745.274,1258.63
15790.0,2000.0,33183.0,22546,0,nomad,hr,1,exp12,3,0,1,1,8,512,30,8564.856,19202.048,3120.777,1103.62
16250.0,2000.0,31995.0,21589,0,nomad,hr,1,exp12,4,0,1,1,8,512,30,9070.11,19070.976,3149.044,1064.86
26460.0,2000.0,7731.0,5321,0,nomad,mm,1,exp12,5,0,1,1,8,512,30,17434.089,27738.112,5016.204,257.35
