Latency,Requests,Throughput,Measured_Throughput,Baseline,Orchestrator,Benchmark,Infinite,Exp,N,Availability,Horizontal,Vertical,Threads,Connections,Duration,Mean,Max,StdDev,ReqSec
15560.0,500.0,13011.0,8970,1,k8s,hr,1,exp14,3,0,0,1,8,512,30,2530.45,22413.312,3860.889,433.29
2680.0,500.0,14686.0,9809,1,k8s,mm,1,exp14,3,0,0,1,8,512,30,117.839,6742.016,475.717,489.09
2760.0,500.0,14681.0,9810,1,k8s,mm,1,exp14,4,0,0,1,8,512,30,131.271,7630.848,544.651,488.33
2440.0,500.0,14695.0,9808,1,k8s,mm,1,exp14,5,0,0,1,8,512,30,112.496,9330.688,469.931,488.85
15110.0,500.0,12825.0,8981,1,k8s,hr,1,exp14,5,0,0,1,8,512,30,2873.547,19922.944,3729.3,426.91
14250.0,500.0,13082.0,9034,1,k8s,hr,1,exp14,4,0,0,1,8,512,30,2455.634,24756.224,3542.475,435.3
2730.0,500.0,14689.0,9806,1,k8s,mm,1,exp14,2,0,0,1,8,512,30,118.028,9486.336,524.311,489.04
14180.0,500.0,13138.0,9050,1,k8s,hr,1,exp14,2,0,0,1,8,512,30,2451.656,20725.76,3587.552,437.4
13860.0,500.0,12846.0,8921,1,k8s,hr,1,exp14,1,0,0,1,8,512,30,2594.509,21413.888,3633.179,427.62
2810.0,500.0,14735.0,9797,1,k8s,mm,1,exp14,1,0,0,1,8,512,30,145.418,7802.88,547.673,490.54
9.97,500.0,14827.0,9842,1,k8s,sn,1,exp14,5,0,0,1,8,512,30,4.084,18.176,1.88,493.59
10.38,500.0,14769.0,9852,1,k8s,sn,1,exp14,3,0,0,1,8,512,30,3.885,18.496,1.924,491.74
11.02,500.0,14771.0,9849,1,k8s,sn,1,exp14,2,0,0,1,8,512,30,3.934,18.08,2.002,491.7
11.05,500.0,14769.0,9850,1,k8s,sn,1,exp14,1,0,0,1,8,512,30,3.957,50.944,2.071,491.25
10.1,500.0,14769.0,9849,1,k8s,sn,1,exp14,4,0,0,1,8,512,30,3.955,19.808,1.846,491.96
10100.0,1000.0,27760.0,19450,1,k8s,hr,1,exp14,5,0,0,1,8,512,30,1753.035,17956.864,2489.502,924.65
7.13,1000.0,29795.0,19968,1,k8s,sn,1,exp14,5,0,0,1,8,512,30,3.275,22.656,1.625,992.86
6.64,1000.0,29793.0,19967,1,k8s,sn,1,exp14,4,0,0,1,8,512,30,3.079,11.512,1.288,992.43
7.01,1000.0,29936.0,20000,1,k8s,sn,1,exp14,2,0,0,1,8,512,30,2.906,19.504,1.251,997.69
6.8,1000.0,29933.0,19999,1,k8s,sn,1,exp14,3,0,0,1,8,512,30,2.924,23.04,1.361,997.15
1720.0,1000.0,29626.0,19856,1,k8s,mm,1,exp14,2,0,0,1,8,512,30,112.725,5148.672,345.079,986.75
2230.0,1000.0,29692.0,19885,1,k8s,mm,1,exp14,3,0,0,1,8,512,30,181.608,6115.328,465.177,989.46
2180.0,1000.0,29557.0,19845,1,k8s,mm,1,exp14,4,0,0,1,8,512,30,167.546,5300.224,446.071,985.09
1670.0,1000.0,29481.0,19812,1,k8s,mm,1,exp14,5,0,0,1,8,512,30,113.132,5144.576,333.213,981.96
9670.0,1000.0,28005.0,19609,1,k8s,hr,1,exp14,4,0,0,1,8,512,30,1629.643,15474.688,2363.578,933.27
9920.0,1000.0,27705.0,19363,1,k8s,hr,1,exp14,3,0,0,1,8,512,30,1791.208,16908.288,2466.26,922.99
9860.0,1000.0,27711.0,19412,1,k8s,hr,1,exp14,2,0,0,1,8,512,30,1663.323,17629.184,2363.608,923.26
1600.0,1000.0,29624.0,19855,1,k8s,mm,1,exp14,1,0,0,1,8,512,30,113.18,4829.184,321.735,987.03
6.57,1000.0,29794.0,19969,1,k8s,sn,1,exp14,1,0,0,1,8,512,30,2.844,41.056,1.153,992.49
10010.0,1000.0,28031.0,19577,1,k8s,hr,1,exp14,1,0,0,1,8,512,30,1713.059,15892.48,2400.07,933.99
1730.0,1500.0,43990.0,29366,1,k8s,mm,1,exp14,3,0,0,1,8,512,30,195.915,4268.032,374.398,1465.93
2420.0,1500.0,44001.0,29359,1,k8s,mm,1,exp14,5,0,0,1,8,512,30,305.216,4829.184,520.355,1466.18
1850.0,1500.0,44143.0,29361,1,k8s,mm,1,exp14,1,0,0,1,8,512,30,213.996,5062.656,401.328,1470.56
2080.0,1500.0,44126.0,29365,1,k8s,mm,1,exp14,2,0,0,1,8,512,30,223.232,5275.648,451.356,1469.1
2050.0,1500.0,43950.0,29372,1,k8s,mm,1,exp14,4,0,0,1,8,512,30,234.968,4415.488,437.095,1464.55
7020.0,2000.0,57214.0,39602,1,k8s,hr,1,exp14,2,0,0,1,8,512,30,1078.267,12902.4,1569.206,1906.42
7030.0,2000.0,57611.0,39732,1,k8s,hr,1,exp14,3,0,0,1,8,512,30,1039.828,11108.352,1518.924,1919.5
6860.0,2000.0,57637.0,39627,1,k8s,hr,1,exp14,4,0,0,1,8,512,30,984.085,12787.712,1521.101,1920.58
2130.0,2000.0,56828.0,37361,1,k8s,mm,1,exp14,5,0,0,1,8,512,30,344.985,3809.28,484.251,1892.84
2530.0,2000.0,56957.0,37605,1,k8s,mm,1,exp14,4,0,0,1,8,512,30,464.543,4603.904,577.719,1894.71
1640.0,2000.0,57324.0,37889,1,k8s,mm,1,exp14,3,0,0,1,8,512,30,257.212,3852.288,374.885,1910.12
2200.0,2000.0,57052.0,37738,1,k8s,mm,1,exp14,2,0,0,1,8,512,30,342.555,5128.192,490.423,1900.07
2040.0,2000.0,57325.0,38042,1,k8s,mm,1,exp14,1,0,0,1,8,512,30,330.626,4300.8,459.319,1906.87
5.07,2000.0,59463.0,39814,1,k8s,sn,1,exp14,2,0,0,1,8,512,30,2.122,11.72,0.795,1981.51
6220.0,2000.0,57346.0,39655,1,k8s,hr,1,exp14,5,0,0,1,8,512,30,1019.921,15794.176,1458.386,1911.16
5.64,2000.0,59464.0,39816,1,k8s,sn,1,exp14,5,0,0,1,8,512,30,2.58,8.832,1.172,1980.97
5.64,2000.0,59466.0,39814,1,k8s,sn,1,exp14,4,0,0,1,8,512,30,2.441,44.032,1.222,1981.08
5.51,2000.0,59716.0,39856,1,k8s,sn,1,exp14,3,0,0,1,8,512,30,2.198,8.456,0.94,1989.86
4.35,2000.0,59457.0,39813,1,k8s,sn,1,exp14,1,0,0,1,8,512,30,2.097,18.928,0.72,1981.41
6140.0,2000.0,57539.0,39695,1,k8s,hr,1,exp14,1,0,0,1,8,512,30,1064.821,9887.744,1481.478,1917.61
7.52,3000.0,89925.0,59863,1,k8s,sn,1,exp14,5,0,0,1,8,512,30,2.659,75.84,2.095,2996.75
5.43,3000.0,89548.0,59887,1,k8s,sn,1,exp14,4,0,0,1,8,512,30,2.265,8.848,1.033,2984.54
5.53,3000.0,89929.0,59862,1,k8s,sn,1,exp14,3,0,0,1,8,512,30,2.092,42.656,1.203,2997.52
5.14,3000.0,89544.0,59892,1,k8s,sn,1,exp14,2,0,0,1,8,512,30,1.951,21.984,0.836,2983.92
3.57,3000.0,89930.0,59860,1,k8s,sn,1,exp14,1,0,0,1,8,512,30,1.824,45.792,0.583,2997.02
10490.0,3000.0,59796.0,33117,1,k8s,mm,1,exp14,3,0,0,1,8,512,30,3823.355,13901.824,2543.628,1992.86
10980.0,3000.0,58970.0,31010,1,k8s,mm,1,exp14,5,0,0,1,8,512,30,4667.167,14548.992,2707.355,1965.11
9480.0,3000.0,61162.0,34235,1,k8s,mm,1,exp14,4,0,0,1,8,512,30,2910.058,12877.824,2146.023,2036.28
4760.0,3000.0,87254.0,59855,1,k8s,hr,1,exp14,5,0,0,1,8,512,30,758.82,8089.6,1084.961,2908.17
10280.0,3000.0,59848.0,32176,1,k8s,mm,1,exp14,2,0,0,1,8,512,30,3794.685,13434.88,2525.995,1994.61
11060.0,3000.0,59002.0,34768,1,k8s,mm,1,exp14,1,0,0,1,8,512,30,4903.127,14794.752,2432.532,1964.46
4420.0,3000.0,87078.0,59879,1,k8s,hr,1,exp14,4,0,0,1,8,512,30,701.803,7680.0,1012.342,2902.12
5380.0,3000.0,87297.0,59812,1,k8s,hr,1,exp14,1,0,0,1,8,512,30,742.009,8396.8,1178.341,2909.51
4740.0,3000.0,87825.0,59821,1,k8s,hr,1,exp14,2,0,0,1,8,512,30,694.25,9068.544,1041.969,2926.0
4270.0,3000.0,87604.0,59872,1,k8s,hr,1,exp14,3,0,0,1,8,512,30,646.596,6914.048,984.498,2919.09
15510.0,4000.0,59754.0,29169,1,k8s,mm,1,exp14,2,0,0,1,8,512,30,7302.208,19857.408,3421.203,1991.6
3500.0,4000.0,117462.0,80054,1,k8s,hr,1,exp14,3,0,0,1,8,512,30,512.551,5574.656,769.867,3915.37
3200.0,4000.0,117770.0,80075,1,k8s,hr,1,exp14,2,0,0,1,8,512,30,563.963,6656.0,776.755,3924.97
3230.0,4000.0,117515.0,80064,1,k8s,hr,1,exp14,1,0,0,1,8,512,30,500.156,5902.336,726.559,3916.47
3.24,4000.0,120031.0,80077,1,k8s,sn,1,exp14,1,0,0,1,8,512,30,1.745,14.672,0.488,4000.57
5.16,4000.0,119512.0,80063,1,k8s,sn,1,exp14,2,0,0,1,8,512,30,1.86,8.504,0.713,3983.41
5.43,4000.0,120021.0,80076,1,k8s,sn,1,exp14,3,0,0,1,8,512,30,2.05,13.44,0.922,4000.59
5.86,4000.0,119518.0,80064,1,k8s,sn,1,exp14,4,0,0,1,8,512,30,2.32,56.672,1.582,3983.8
5.75,4000.0,119514.0,80064,1,k8s,sn,1,exp14,5,0,0,1,8,512,30,2.533,9.928,1.229,3983.47
3580.0,4000.0,117500.0,80055,1,k8s,hr,1,exp14,4,0,0,1,8,512,30,502.886,6828.032,776.221,3916.41
15270.0,4000.0,60872.0,30108,1,k8s,mm,1,exp14,1,0,0,1,8,512,30,7019.393,17940.48,3311.154,2024.9
3450.0,4000.0,117403.0,80063,1,k8s,hr,1,exp14,5,0,0,1,8,512,30,527.251,6574.08,794.873,3913.09
15130.0,4000.0,60770.0,30716,1,k8s,mm,1,exp14,3,0,0,1,8,512,30,6680.564,19169.28,3419.139,2022.91
15220.0,4000.0,60688.0,29440,1,k8s,mm,1,exp14,4,0,0,1,8,512,30,6944.828,18694.144,3371.723,2020.12
15500.0,4000.0,59823.0,29350,1,k8s,mm,1,exp14,5,0,0,1,8,512,30,7516.606,20332.544,3358.048,1990.96
18040.0,5000.0,60569.0,30787,1,k8s,mm,1,exp14,1,0,0,1,8,512,30,9426.791,21643.264,3688.834,2014.64
18330.0,5000.0,60385.0,30415,1,k8s,mm,1,exp14,2,0,0,1,8,512,30,9554.659,21348.352,3809.762,2012.8
18120.0,5000.0,60054.0,29748,1,k8s,mm,1,exp14,5,0,0,1,8,512,30,9347.545,21299.2,3794.271,2001.52
18240.0,5000.0,60294.0,30502,1,k8s,mm,1,exp14,4,0,0,1,8,512,30,9525.365,21118.976,3803.935,2007.9
18190.0,5000.0,60217.0,30157,1,k8s,mm,1,exp14,3,0,0,1,8,512,30,9507.239,22298.624,3805.935,2005.11
5.9,6000.0,179423.0,120211,1,k8s,sn,1,exp14,3,0,0,1,8,512,30,2.168,45.952,1.39,5980.89
5.45,6000.0,180101.0,120178,1,k8s,sn,1,exp14,2,0,0,1,8,512,30,1.931,44.192,0.995,6003.07
3.34,6000.0,180146.0,120177,1,k8s,sn,1,exp14,1,0,0,1,8,512,30,1.73,40.064,0.635,6004.14
5.79,6000.0,179420.0,120201,1,k8s,sn,1,exp14,4,0,0,1,8,512,30,2.299,11.16,1.151,5980.76
39.65,6000.0,180114.0,120169,1,k8s,sn,1,exp14,5,0,0,1,8,512,30,4.075,63.456,6.439,6003.95
2470.0,6000.0,177787.0,120167,1,k8s,hr,1,exp14,4,0,0,1,8,512,30,388.664,4857.856,594.512,5926.07
2110.0,6000.0,176728.0,120174,1,k8s,hr,1,exp14,3,0,0,1,8,512,30,328.15,5554.176,486.807,5890.68
2250.0,6000.0,178210.0,120183,1,k8s,hr,1,exp14,2,0,0,1,8,512,30,326.089,4698.112,512.067,5939.99
2340.0,6000.0,177854.0,120168,1,k8s,hr,1,exp14,1,0,0,1,8,512,30,379.382,4085.76,548.833,5928.64
