Latency,Requests,Throughput,Measured_Throughput,Baseline,Orchestrator,Benchmark,Infinite,Exp,N,Availability,Horizontal,Vertical,Threads,Connections,Duration,Mean,Max,StdDev,ReqSec
12.03,500.0,14828.0,9845,1,k8s,mm,1,exp15,1,1,1,1,8,512,30,4.922,23.6,1.927,493.94
11.85,500.0,14769.0,9852,1,k8s,hr,1,exp15,2,1,1,1,8,512,30,4.437,19.824,2.284,491.4
11.53,500.0,14767.0,9851,1,k8s,hr,1,exp15,3,1,1,1,8,512,30,4.381,22.864,2.248,491.2
12.0,500.0,14828.0,9843,1,k8s,hr,1,exp15,4,1,1,1,8,512,30,4.54,19.84,2.35,493.34
11.65,500.0,14769.0,9851,1,k8s,hr,1,exp15,5,1,1,1,8,512,30,4.357,24.208,2.281,491.4
11.72,500.0,14768.0,9850,1,k8s,hr,1,exp15,1,1,1,1,8,512,30,4.422,18.192,2.286,491.9
10.93,500.0,14770.0,9850,1,k8s,sn,1,exp15,2,1,1,1,8,512,30,3.787,17.776,1.92,491.36
10.72,500.0,14768.0,9850,1,k8s,sn,1,exp15,1,1,1,1,8,512,30,3.772,18.976,1.921,491.62
34.56,500.0,14769.0,9849,1,k8s,sn,1,exp15,4,1,1,1,8,512,30,4.534,75.52,5.302,491.28
10.73,500.0,14828.0,9843,1,k8s,sn,1,exp15,5,1,1,1,8,512,30,3.806,18.72,1.913,493.18
23460.0,500.0,1038.0,1017,1,k8s,mm,1,exp15,5,1,1,1,8,512,30,15143.468,26656.768,5139.725,34.52
24460.0,500.0,1043.0,1025,1,k8s,mm,1,exp15,4,1,1,1,8,512,30,15130.356,26968.064,5158.202,34.69
12.02,500.0,14829.0,9844,1,k8s,mm,1,exp15,3,1,1,1,8,512,30,4.946,17.824,1.87,493.21
26.99,500.0,14828.0,9843,1,k8s,sn,1,exp15,3,1,1,1,8,512,30,4.314,70.976,4.041,493.4
12.81,500.0,14769.0,9849,1,k8s,mm,1,exp15,2,1,1,1,8,512,30,5.107,67.456,2.632,491.95
23090.0,1000.0,1045.0,1022,1,k8s,mm,1,exp15,4,1,1,1,8,512,30,15182.966,27213.824,5069.438,34.75
20250.0,1000.0,11926.0,8070,1,k8s,mm,1,exp15,3,1,1,1,8,512,30,11624.923,23265.28,3931.861,396.7
20300.0,1000.0,11849.0,7932,1,k8s,mm,1,exp15,2,1,1,1,8,512,30,11816.635,23199.744,3915.961,394.63
20580.0,1000.0,11901.0,8007,1,k8s,mm,1,exp15,1,1,1,1,8,512,30,11695.58,23445.504,4012.142,395.83
23200.0,1000.0,1045.0,1008,1,k8s,mm,1,exp15,5,1,1,1,8,512,30,15272.718,28950.528,5113.832,34.76
7.88,1000.0,29789.0,19966,1,k8s,hr,1,exp15,1,1,1,1,8,512,30,3.297,13.832,1.482,991.95
8.15,1000.0,29785.0,19965,1,k8s,hr,1,exp15,5,1,1,1,8,512,30,3.292,15.984,1.494,992.48
8.07,1000.0,29793.0,19969,1,k8s,hr,1,exp15,2,1,1,1,8,512,30,3.311,12.68,1.503,991.74
8.09,1000.0,29792.0,19966,1,k8s,hr,1,exp15,3,1,1,1,8,512,30,3.336,12.48,1.502,992.12
7.97,1000.0,29791.0,19966,1,k8s,hr,1,exp15,4,1,1,1,8,512,30,3.273,13.264,1.481,991.92
7.01,1500.0,44627.0,29665,1,k8s,hr,1,exp15,2,1,1,1,8,512,30,2.956,12.504,1.269,1487.3
7.09,1500.0,44442.0,29654,1,k8s,hr,1,exp15,3,1,1,1,8,512,30,2.982,11.368,1.286,1480.91
7.21,1500.0,44444.0,29655,1,k8s,hr,1,exp15,4,1,1,1,8,512,30,2.981,13.944,1.322,1481.04
4.85,1500.0,44445.0,29654,1,k8s,sn,1,exp15,1,1,1,1,8,512,30,2.297,34.848,1.023,1480.88
4.93,1500.0,44444.0,29655,1,k8s,sn,1,exp15,2,1,1,1,8,512,30,2.33,8.176,0.738,1480.76
4.95,1500.0,44444.0,29654,1,k8s,sn,1,exp15,3,1,1,1,8,512,30,2.361,7.812,0.732,1481.23
4.86,1500.0,44629.0,29665,1,k8s,sn,1,exp15,4,1,1,1,8,512,30,2.321,8.052,0.729,1486.36
7.22,1500.0,44444.0,29656,1,k8s,hr,1,exp15,5,1,1,1,8,512,30,3.01,12.632,1.31,1480.76
6.89,1500.0,44445.0,29656,1,k8s,hr,1,exp15,1,1,1,1,8,512,30,2.924,11.576,1.255,1481.22
4.87,1500.0,44443.0,29655,1,k8s,sn,1,exp15,5,1,1,1,8,512,30,2.34,9.608,0.718,1480.91
4.2,2000.0,59461.0,39811,1,k8s,sn,1,exp15,2,1,1,1,8,512,30,2.134,6.792,0.603,1981.8
9940.0,2000.0,45094.0,27267,1,k8s,hr,1,exp15,3,1,1,1,8,512,30,4217.926,12558.336,2322.229,1501.35
5720.0,2000.0,51389.0,31535,1,k8s,hr,1,exp15,2,1,1,1,8,512,30,1206.292,8085.504,1565.592,1709.23
6.8,2000.0,59718.0,39858,1,k8s,hr,1,exp15,1,1,1,1,8,512,30,2.826,11.08,1.224,1990.35
21.04,2000.0,59225.0,39798,1,k8s,sn,1,exp15,3,1,1,1,8,512,30,2.763,165.248,5.707,1973.65
27410.0,2000.0,6431.0,5531,1,k8s,mm,1,exp15,1,1,1,1,8,512,30,20298.193,28590.08,4691.273,214.08
24.96,2000.0,59720.0,39876,1,k8s,sn,1,exp15,4,1,1,1,8,512,30,2.726,105.216,4.169,1990.01
4.03,2000.0,59464.0,39811,1,k8s,sn,1,exp15,5,1,1,1,8,512,30,2.071,7.164,0.581,1980.66
6.87,2000.0,58996.0,39793,1,k8s,hr,1,exp15,5,1,1,1,8,512,30,2.844,16.416,1.234,1965.55
24670.0,2000.0,12038.0,8113,1,k8s,mm,1,exp15,2,1,1,1,8,512,30,15831.597,27049.984,4701.69,401.17
23200.0,2000.0,6766.0,2874,1,k8s,mm,1,exp15,3,1,1,1,8,512,30,12051.661,26902.528,4676.834,225.04
24760.0,2000.0,11891.0,8033,1,k8s,mm,1,exp15,4,1,1,1,8,512,30,15869.552,26476.544,4708.277,395.49
25850.0,2000.0,8537.0,4688,1,k8s,mm,1,exp15,5,1,1,1,8,512,30,13021.098,27066.368,4466.962,283.95
4.09,2000.0,59461.0,39813,1,k8s,sn,1,exp15,1,1,1,1,8,512,30,2.084,31.424,0.776,1981.37
11580.0,2000.0,42576.0,27891,1,k8s,hr,1,exp15,4,1,1,1,8,512,30,5314.527,14778.368,2486.372,1416.08
13580.0,2500.0,45037.0,26408,1,k8s,hr,1,exp15,2,1,1,1,8,512,30,7046.923,16498.688,3013.083,1498.07
15610.0,2500.0,40415.0,26112,1,k8s,hr,1,exp15,5,1,1,1,8,512,30,8582.488,18710.528,3187.171,1346.42
1880.0,2500.0,74059.0,50170,1,k8s,hr,1,exp15,4,1,1,1,8,512,30,406.113,3457.024,427.379,2466.51
2330.0,2500.0,68074.0,43458,1,k8s,hr,1,exp15,3,1,1,1,8,512,30,166.83,3889.152,482.089,2264.43
16170.000000000002,2500.0,38604.0,22815,1,k8s,hr,1,exp15,1,1,1,1,8,512,30,8840.563,18513.92,3431.255,1284.95
3.29,3000.0,89538.0,59885,1,k8s,sn,1,exp15,2,1,1,1,8,512,30,1.878,5.296,0.45,2984.19
3.23,3000.0,89544.0,59886,1,k8s,sn,1,exp15,3,1,1,1,8,512,30,1.862,5.512,0.446,2983.73
3.25,3000.0,89544.0,59886,1,k8s,sn,1,exp15,4,1,1,1,8,512,30,1.853,5.508,0.446,2984.09
3.26,3000.0,89548.0,59891,1,k8s,sn,1,exp15,5,1,1,1,8,512,30,1.866,5.16,0.451,2984.53
3.44,3000.0,89544.0,59885,1,k8s,sn,1,exp15,1,1,1,1,8,512,30,1.897,50.24,0.904,2984.33
25020.0,3000.0,1050.0,970,1,k8s,mm,1,exp15,3,1,1,1,8,512,30,15558.778,29212.672,5123.445,34.92
23590.0,3000.0,1048.0,968,1,k8s,mm,1,exp15,5,1,1,1,8,512,30,15527.441,28540.928,5099.098,34.86
24070.0,3000.0,1046.0,962,1,k8s,mm,1,exp15,4,1,1,1,8,512,30,15543.66,28966.912,5091.465,34.79
18200.0,3000.0,39787.0,26691,1,k8s,hr,1,exp15,5,1,1,1,8,512,30,11086.781,20922.368,3501.329,1323.26
26250.0,3000.0,12072.0,8145,1,k8s,mm,1,exp15,2,1,1,1,8,512,30,17352.445,27361.28,5066.409,401.59
21640.0,3000.0,5069.0,1080,1,k8s,mm,1,exp15,1,1,1,1,8,512,30,13517.638,28049.408,5141.495,168.6
10580.0,3000.0,61156.0,33141,1,k8s,hr,1,exp15,4,1,1,1,8,512,30,3339.327,13303.808,3066.58,2034.37
18830.0,3000.0,37246.0,25016,1,k8s,hr,1,exp15,1,1,1,1,8,512,30,11442.867,21495.808,3557.057,1241.49
17860.0,3000.0,39627.0,25766,1,k8s,hr,1,exp15,2,1,1,1,8,512,30,10819.379,20873.216,3454.986,1320.93
3.28,3000.0,89545.0,59887,1,k8s,hr,1,exp15,3,1,1,1,8,512,30,1.506,18.88,0.608,2984.16
26950.0,4000.0,11941.0,8062,1,k8s,mm,1,exp15,2,1,1,1,8,512,30,17796.434,28442.624,5181.624,398.02
26850.0,4000.0,12150.0,8175,1,k8s,mm,1,exp15,1,1,1,1,8,512,30,17647.153,28426.24,5203.036,404.41
20960.0,4000.0,40241.0,27330,1,k8s,hr,1,exp15,2,1,1,1,8,512,30,13200.171,23117.824,3951.952,1340.9
21070.0,4000.0,38593.0,26126,1,k8s,hr,1,exp15,1,1,1,1,8,512,30,13460.927,23101.44,4015.838,1283.58
