Latency,Requests,Throughput,Measured_Throughput,Baseline,Orchestrator,Benchmark,Infinite,Exp,N,Availability,Horizontal,Vertical,Threads,Connections,Duration,Mean,Max,StdDev,ReqSec
16720.0,500.0,8975.0,6102,1,nomad,mm,1,exp13,3,0,1,0,8,512,30,7520.515,22052.864,3566.309,298.94
1.94,500.0,14666.0,9865,1,nomad,sn,1,exp13,1,0,1,0,8,512,30,1.258,26.64,0.388,488.22
1.98,500.0,14769.0,9850,1,nomad,sn,1,exp13,2,0,1,0,8,512,30,1.261,2.916,0.29,491.88
1.94,500.0,14831.0,9845,1,nomad,sn,1,exp13,3,0,1,0,8,512,30,1.242,2.81,0.29,493.86
1.96,500.0,14718.0,9862,1,nomad,sn,1,exp13,4,0,1,0,8,512,30,1.264,2.894,0.288,489.91
1.97,500.0,14720.0,9864,1,nomad,sn,1,exp13,5,0,1,0,8,512,30,1.255,3.478,0.292,490.26
16810.0,500.0,8920.0,6233,1,nomad,mm,1,exp13,5,0,1,0,8,512,30,7795.081,21282.816,3590.148,296.65
16390.0,500.0,9019.0,6127,1,nomad,mm,1,exp13,4,0,1,0,8,512,30,7564.318,20119.552,3512.767,299.96
16770.0,500.0,8899.0,6036,1,nomad,mm,1,exp13,2,0,1,0,8,512,30,7550.994,20381.696,3561.245,295.98
17600.0,500.0,9035.0,6185,1,nomad,mm,1,exp13,1,0,1,0,8,512,30,7624.352,21987.328,3885.862,300.5
1.81,1000.0,29936.0,19998,1,nomad,sn,1,exp13,5,0,1,0,8,512,30,1.051,2.722,0.276,997.67
1.79,1000.0,29933.0,19998,1,nomad,sn,1,exp13,4,0,1,0,8,512,30,1.038,2.73,0.269,997.31
1.78,1000.0,29932.0,19997,1,nomad,sn,1,exp13,3,0,1,0,8,512,30,1.03,2.994,0.266,997.47
1.8,1000.0,29932.0,19998,1,nomad,sn,1,exp13,2,0,1,0,8,512,30,1.043,2.884,0.279,997.47
1.74,1000.0,29657.0,19935,1,nomad,sn,1,exp13,1,0,1,0,8,512,30,1.024,2.876,0.27,988.08
22640.0,1000.0,9063.0,6328,1,nomad,mm,1,exp13,1,0,1,0,8,512,30,13638.239,25886.72,4276.155,301.82
22330.0,1000.0,9278.0,6412,1,nomad,mm,1,exp13,4,0,1,0,8,512,30,13473.367,25411.584,4216.553,309.15
22590.0,1000.0,9350.0,6421,1,nomad,mm,1,exp13,3,0,1,0,8,512,30,13563.622,25509.888,4323.743,311.52
22720.0,1000.0,9085.0,6360,1,nomad,mm,1,exp13,2,0,1,0,8,512,30,13802.729,24723.456,4299.645,302.16
22580.0,1000.0,9317.0,6430,1,nomad,mm,1,exp13,5,0,1,0,8,512,30,13625.512,25427.968,4230.46,309.94
24630.0,1500.0,9254.0,6439,1,nomad,mm,1,exp13,2,0,1,0,8,512,30,15737.784,27295.744,4636.165,307.97
24480.0,1500.0,9390.0,6509,1,nomad,mm,1,exp13,3,0,1,0,8,512,30,15589.307,26755.072,4675.759,312.52
24580.0,1500.0,9293.0,6475,1,nomad,mm,1,exp13,4,0,1,0,8,512,30,15585.327,26296.32,4660.45,309.08
24950.0,1500.0,9161.0,6367,1,nomad,mm,1,exp13,5,0,1,0,8,512,30,15903.615,26968.064,4674.318,304.76
