Latency,Requests,Throughput,Measured_Throughput,Baseline,Orchestrator,Benchmark,Infinite,Exp,N,Availability,Horizontal,Vertical,Threads,Connections,Duration,Mean,Max,StdDev,ReqSec
11.51,500.0,14828.0,9845,1,k8s,hr,1,exp13,4,0,1,0,8,512,30,4.281,24.704,2.207,493.76
12.61,500.0,14768.0,9851,1,k8s,mm,1,exp13,5,0,1,0,8,512,30,5.466,19.152,1.904,491.32
12.1,500.0,14767.0,9851,1,k8s,mm,1,exp13,4,0,1,0,8,512,30,5.434,18.32,1.868,491.27
11.32,500.0,14770.0,9851,1,k8s,hr,1,exp13,5,0,1,0,8,512,30,4.291,19.424,2.162,491.92
9.18,500.0,14768.0,9853,1,k8s,sn,1,exp13,5,0,1,0,8,512,30,5.963,34.432,1.569,491.46
8.47,500.0,14768.0,9850,1,k8s,sn,1,exp13,4,0,1,0,8,512,30,5.841,14.928,0.896,491.68
9.03,500.0,14826.0,9844,1,k8s,sn,1,exp13,3,0,1,0,8,512,30,5.834,33.792,1.515,493.48
8.32,500.0,14769.0,9850,1,k8s,sn,1,exp13,2,0,1,0,8,512,30,5.286,16.752,1.213,491.67
9.74,500.0,14829.0,9844,1,k8s,sn,1,exp13,1,0,1,0,8,512,30,4.103,19.072,1.967,493.33
12.34,500.0,14769.0,9850,1,k8s,mm,1,exp13,3,0,1,0,8,512,30,5.376,19.168,1.897,491.41
11.65,500.0,14771.0,9852,1,k8s,hr,1,exp13,3,0,1,0,8,512,30,4.263,18.288,2.175,491.75
11.68,500.0,14769.0,9850,1,k8s,hr,1,exp13,2,0,1,0,8,512,30,4.387,54.912,2.348,491.23
27740.0,500.0,1953.0,776,1,k8s,hr,1,exp13,1,0,1,0,8,512,30,15776.391,29802.496,8380.962,64.95
12.16,500.0,14767.0,9854,1,k8s,mm,1,exp13,1,0,1,0,8,512,30,5.123,18.672,1.916,491.26
12.39,500.0,14768.0,9852,1,k8s,mm,1,exp13,2,0,1,0,8,512,30,5.194,21.376,1.889,491.9
10170.0,1000.0,23985.0,16088,1,k8s,mm,1,exp13,3,0,1,0,8,512,30,3671.975,13803.52,2192.401,797.93
8.31,1000.0,29933.0,19999,1,k8s,hr,1,exp13,1,0,1,0,8,512,30,3.619,262.912,7.981,997.52
