Latency,Requests,Throughput,Measured_Throughput,Baseline,Orchestrator,Benchmark,Infinite,Exp,N,Availability,Horizontal,Vertical,Threads,Connections,Duration,Mean,Max,StdDev,ReqSec
7.22,500.0,14827.0,9842,1,swarm,hr,1,exp13,3,0,1,0,8,512,30,2.401,13.752,1.548,493.2
4.0,500.0,14828.0,9843,1,swarm,mm,1,exp13,5,0,1,0,8,512,30,3.127,8.104,0.306,493.93
5.72,500.0,14828.0,9842,1,swarm,hr,1,exp13,5,0,1,0,8,512,30,2.253,20.928,1.233,493.62
5.69,500.0,14769.0,9850,1,swarm,hr,1,exp13,4,0,1,0,8,512,30,2.231,7.2,1.198,491.22
8.2,500.0,14767.0,9855,1,swarm,sn,1,exp13,5,0,1,0,8,512,30,4.84,22.48,1.302,491.2
8.03,500.0,14769.0,9850,1,swarm,sn,1,exp13,4,0,1,0,8,512,30,4.769,14.376,1.268,491.7
7.86,500.0,14769.0,9852,1,swarm,sn,1,exp13,3,0,1,0,8,512,30,4.543,10.896,1.285,491.93
6.95,500.0,14768.0,9849,1,swarm,sn,1,exp13,2,0,1,0,8,512,30,4.03,10.024,1.293,491.96
6.81,500.0,14771.0,9850,1,swarm,sn,1,exp13,1,0,1,0,8,512,30,2.473,9.216,1.624,492.03
3.92,500.0,14768.0,9850,1,swarm,mm,1,exp13,4,0,1,0,8,512,30,3.053,6.384,0.291,491.32
7.39,500.0,14825.0,9841,1,swarm,hr,1,exp13,2,0,1,0,8,512,30,2.398,13.192,1.555,493.11
7.24,500.0,14719.0,9863,1,swarm,hr,1,exp13,1,0,1,0,8,512,30,2.416,12.464,1.56,489.58
22.77,500.0,14719.0,9863,1,swarm,mm,1,exp13,3,0,1,0,8,512,30,3.534,66.56,3.558,489.96
3.76,500.0,14827.0,9841,1,swarm,mm,1,exp13,1,0,1,0,8,512,30,2.828,24.032,0.813,493.8
3.66,500.0,14828.0,9842,1,swarm,mm,1,exp13,2,0,1,0,8,512,30,2.877,7.268,0.274,493.5
5.66,1000.0,29930.0,19999,1,swarm,sn,1,exp13,1,0,1,0,8,512,30,2.707,9.144,1.439,997.27
6.3,1000.0,29658.0,19935,1,swarm,hr,1,exp13,1,0,1,0,8,512,30,1.99,10.792,1.311,987.04
6.5,1000.0,29934.0,19998,1,swarm,sn,1,exp13,2,0,1,0,8,512,30,3.529,12.8,1.188,997.62
13990.0,1000.0,19551.0,13026,1,swarm,mm,1,exp13,4,0,1,0,8,512,30,6597.384,17055.744,2952.016,651.32
13570.0,1000.0,19951.0,13086,1,swarm,mm,1,exp13,3,0,1,0,8,512,30,6183.024,17907.712,2907.117,664.92
