Latency,Requests,Throughput,Baseline,Orchestrator,Benchmark,Infinite,Exp,Availability,Horizontal,Vertical,Threads,Connections,Duration,Mean,Max,StdDev,ReqSec
9.15,200.0,5755.0,0,swarm,hr,1,exp1,0,1,1,16,16,30,3.212,12.336,1.936,191.82
7.73,200.0,5907.0,0,swarm,sn,1,exp1,0,1,1,4,512,30,2.826,9.584,1.801,196.05
8.0,200.0,2905.0,0,swarm,sn,1,exp1,0,1,1,4,2048,30,3.613,9.32,2.035,96.66
7.85,200.0,5995.0,0,swarm,sn,1,exp1,0,1,1,4,16,30,2.484,11.552,1.581,199.8
8.01,200.0,5934.0,0,swarm,sn,1,exp1,0,1,1,4,128,30,2.29,11.824,1.552,197.62
7.59,200.0,5808.0,0,swarm,sn,1,exp1,0,1,1,4,1024,30,3.245,9.048,1.911,193.32
8.01,200.0,5755.0,0,swarm,sn,1,exp1,0,1,1,16,16,30,3.387,12.224,1.898,191.8
6.61,200.0,5995.0,0,swarm,mm,1,exp1,0,1,1,8,16,30,3.787,9.648,0.686,199.81
6.74,200.0,5995.0,0,swarm,mm,1,exp1,0,1,1,4,16,30,3.765,10.968,0.704,199.79
6.7,200.0,5755.0,0,swarm,mm,1,exp1,0,1,1,16,16,30,3.758,9.992,0.682,191.82
9.26,200.0,5995.0,0,swarm,hr,1,exp1,0,1,1,8,16,30,3.23,13.296,2.024,199.8
7.96,200.0,5995.0,0,swarm,sn,1,exp1,0,1,1,8,16,30,3.047,13.64,1.869,199.8
10.04,200.0,5908.0,0,swarm,hr,1,exp1,0,1,1,4,512,30,3.4,19.008,2.183,196.24
10.7,200.0,5808.0,0,swarm,hr,1,exp1,0,1,1,4,1024,30,3.435,14.848,2.21,193.38
11.57,200.0,2903.0,0,swarm,hr,1,exp1,0,1,1,4,2048,30,3.741,19.68,2.383,96.21
9.02,200.0,5995.0,0,swarm,hr,1,exp1,0,1,1,4,16,30,3.212,15.904,1.913,199.78
11.38,200.0,5973.0,0,swarm,hr,1,exp1,0,1,1,4,128,30,3.47,48.224,2.571,198.89
8.05,500.0,14983.0,0,swarm,sn,1,exp1,0,1,1,4,8,30,2.612,13.08,1.863,499.4
6.42,500.0,14982.0,0,swarm,mm,1,exp1,0,1,1,4,8,30,3.124,16.592,0.869,499.38
1590.0,500.0,14386.0,0,swarm,hr,1,exp1,0,1,1,4,8,30,1197.858,1692.672,170.515,479.46
8.4,1000.0,29937.0,0,swarm,mm,1,exp1,0,1,1,4,8,30,3.414,16.112,1.34,997.81
9.97,1000.0,29938.0,0,swarm,sn,1,exp1,0,1,1,4,8,30,3.315,20.864,2.128,997.79
8.62,1000.0,29940.0,0,swarm,hr,1,exp1,0,1,1,4,8,30,2.62,16.464,1.801,997.91
14.77,1500.0,44791.0,0,swarm,sn,1,exp1,0,1,1,4,8,30,4.449,30.0,2.994,1492.9
12.51,1500.0,44790.0,0,swarm,mm,1,exp1,0,1,1,4,8,30,4.301,24.32,2.254,1492.95
9.94,1500.0,44793.0,0,swarm,hr,1,exp1,0,1,1,4,8,30,2.858,19.648,2.044,1492.93
21.28,2000.0,59801.0,0,swarm,sn,1,exp1,0,1,1,4,8,30,5.717,44.768,4.312,1993.27
148.35,2000.0,59796.0,0,swarm,mm,1,exp1,0,1,1,4,8,30,11.965,209.92,23.753,1993.26
12.34,2000.0,59805.0,0,swarm,hr,1,exp1,0,1,1,4,8,30,3.459,23.28,2.562,1993.42
436.22,2500.0,74593.0,0,swarm,mm,1,exp1,0,1,1,4,8,30,168.091,495.616,113.228,2486.46
17.93,2500.0,75108.0,0,swarm,hr,1,exp1,0,1,1,4,8,30,4.804,34.752,3.747,2503.61
8039.999999999999,2500.0,62729.0,0,swarm,sn,1,exp1,0,1,1,4,8,30,2858.306,8552.448,1393.963,2090.86
9600.0,3000.0,61015.0,0,swarm,sn,1,exp1,0,1,1,4,8,30,4864.855,9863.168,1985.976,2033.8
5670.0,3000.0,73634.0,0,swarm,mm,1,exp1,0,1,1,4,8,30,3280.565,5947.392,1079.832,2454.47
38.01,3000.0,90060.0,0,swarm,hr,1,exp1,0,1,1,4,8,30,9.463,69.888,8.267,3001.96
